Mapping_Index,OFT_Unit_ID,TST_Unit_ID,OFT_Peak_Count,TST_Peak_Count,OFT_Peak_Max_Magnitude,TST_Peak_Max_Magnitude,OFT_Peak_Mean_Magnitude,TST_Peak_Mean_Magnitude,OFT_Peak_Std_Magnitude,TST_Peak_Std_Magnitude,OFT_Spike_Rate_per_100_frames,TST_Spike_Rate_per_100_frames
1,42,48,20,11,32.07484689547747,21.77651711150335,19.82234761709607,14.195773251526191,7.014018847494514,5.354397801841655,0.22261798753339268,0.12243989314336598
2,62,70,23,13,33.841254682054654,28.825652881941654,12.100797140003534,13.630391228710875,8.14416219121478,6.624775797485727,0.25601068566340157,0.14470169189670526
3,12,14,13,4,57.87100681892648,36.519920011006406,19.022426970780437,29.00434547687815,17.50438357449672,5.489615274112272,0.14470169189670526,0.04452359750667854
4,0,5,16,8,64.26950091786,45.29735737830935,15.771689164465975,27.532312707218715,17.512204837805466,12.627371025277775,0.17809439002671415,0.08904719501335707
5,87,90,6,20,25.736572833676355,27.707051970366663,14.788772864692994,16.773065123730174,7.5975314879754565,5.661615665421113,0.06678539626001781,0.22261798753339268
6,18,18,29,13,27.404975660809196,26.18322960739519,10.401836563409699,16.956408072660764,5.56100031715967,5.340330576362206,0.3227960819234194,0.14470169189670526
7,55,59,2,11,28.020530190454906,16.21312341092631,21.185739852110554,12.207016124328339,6.8347903383443525,3.0290352246155474,0.02226179875333927,0.12243989314336598
8,88,91,31,12,46.15008338979648,52.85805548605042,12.66976780004389,14.231467107852842,7.994960759445579,13.329857283439376,0.3450578806767587,0.13357079252003562
9,15,16,48,31,40.05898405587947,26.89750956812131,13.66196213128905,10.570406349695817,8.439449926716257,4.0662637406796325,0.5342831700801425,0.3450578806767587
10,41,46,6,22,24.03339005164076,18.9394328923947,13.084924364933725,10.643479258863444,7.213948443326673,3.490721149099593,0.06678539626001781,0.24487978628673196
11,64,74,19,29,52.127183597394364,30.9817548592464,27.17434523308309,19.286719973723276,15.511636352023046,7.093933053537034,0.21148708815672307,0.3227960819234194
12,46,51,24,25,31.938904556196903,27.937847413523713,13.381403751378018,8.887380173970575,7.7387292186030585,4.703302025123781,0.26714158504007124,0.27827248441674085
13,22,21,30,20,18.26328721285403,14.570008988524938,9.598039367883816,9.582121921991007,3.231490715478937,2.60952541685693,0.333926981300089,0.22261798753339268
14,9,12,29,6,34.63937344651104,22.33760550663833,15.249985612092452,12.529488912315154,7.410434812784609,6.355056383508571,0.3227960819234194,0.06678539626001781
15,40,45,23,13,23.24621524930955,40.4847909104765,12.80214177609521,21.886640656266607,5.12848440038268,11.358031631860756,0.25601068566340157,0.14470169189670526
16,6,7,39,25,43.2719259869912,23.717210439786648,11.02413143911073,12.029664364748875,6.466596624892461,5.4156308062325875,0.4341050756901158,0.27827248441674085
17,85,88,13,11,37.30469054098834,30.4921515647724,14.441982847555444,15.104804032726019,9.628301717757381,7.4431367126150905,0.14470169189670526,0.12243989314336598
18,86,89,11,16,24.266558903172715,16.52304515658143,15.543447372886794,11.439685311043451,5.45443114823104,2.4643856270570317,0.12243989314336598,0.17809439002671415
19,54,56,35,26,32.75410591990329,26.78841405398942,12.593527117014382,14.694588267412838,7.534750809760716,6.0707836223515805,0.3895814781834372,0.2894033837934105
